source_strategy,source_category_id,source_category_name,source_category_path,source_asin,source_parent_asin,product_name,category,marketplace,target_price,cost,shipping,fba_fee,referral_fee_rate,est_monthly_sales,avg_review_count,avg_rating,top10_review_share,keyword_search_volume,keyword_cpc,seasonality_score,differentiation_score,compliance_risk,fragile_risk,oversize_risk,market_data_completeness,profit_data_confidence,evidence_confidence,evidence_grade,data_source_summary,profit_estimate_status,notes,listing_url,opportunity_score,recommendation,gross_profit_per_unit,gross_margin,monthly_gross_profit,demand_score,competition_score,profitability_score,risk_score,risk_control_score,key_flags,brand_moat_reason,hard_stop_reason,archive_key,archive_first_seen,archive_last_seen,archive_seen_count,archive_best_score,archive_latest_score,archive_best_recommendation,archive_latest_recommendation,archive_status,archive_last_run_id,research_status,archive_notes
category:Lidded Storage Bins,,,,B0FS1V9M3V,B0FS1S8L7Z,Decorative Linen Storage Boxes with Lids - Spacious Set of 2 Organizer Bins,"['Home & Kitchen', 'home-garden']",US,14.21,3.98,1.14,5.35,0.15,970.0,195.0,4.6,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,20.0,75.0,35.0,65.0,B,"observed:price,sales,reviews,rating,fba_fee; estimated:search_volume,cpc",estimated_default_costs,Imported from Sorftime; ASIN B0FS1V9M3V; parent B0FS1S8L7Z; brand ZICOTO,https://www.amazon.com/dp/B0FS1V9M3V,61.4,Watch or collect more data,1.61,0.1132,1560.25,87.3,46.8,1.6,22.0,78.0,supplier quote required; estimated profit is not a rejection gate,,,asin:B0FS1V9M3V,2026-08-31 08:10:41,2026-08-31 08:10:41,1,61.4,61.4,Watch or collect more data,Watch or collect more data,not_in_latest_run,20260831_personal_seller_rules,watchlist,
category:Shelf Baskets,,,,B0FWHPDCLX,B0FWHPGQS9,"Small Wicker Basket for Organizing, Woven Storage Basket Sets of 3","['Home & Kitchen', 'home-garden']",US,19.99,5.6,1.6,7.73,0.15,920.0,115.0,4.5,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,20.0,75.0,35.0,65.0,B,"observed:price,sales,reviews,rating,fba_fee; estimated:search_volume,cpc",estimated_default_costs,Imported from Sorftime; ASIN B0FWHPDCLX; parent B0FWHPGQS9; brand SEVDIZON,https://www.amazon.com/dp/B0FWHPDCLX,61.4,Watch or collect more data,2.06,0.1031,1896.58,87.3,46.8,2.6,22.0,78.0,supplier quote required; estimated profit is not a rejection gate,,,asin:B0FWHPDCLX,2026-08-31 08:10:41,2026-08-31 08:10:41,1,61.4,61.4,Watch or collect more data,Watch or collect more data,not_in_latest_run,20260831_personal_seller_rules,watchlist,
category:Storage Boxes,,,,B0FHPNMYMY,B0DZX13PBT,"10 Pack Flat Shallow Clear Storage Box, Drawer Organizer Tray","['Home & Kitchen', 'home-garden']",US,19.99,5.6,1.6,7.93,0.15,512.0,107.0,4.6,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,20.0,75.0,35.0,65.0,B,"observed:price,sales,reviews,rating,fba_fee; estimated:search_volume,cpc",estimated_default_costs,Imported from Sorftime; ASIN B0FHPNMYMY; parent B0DZX13PBT; brand Swuj,https://www.amazon.com/dp/B0FHPNMYMY,61.4,Watch or collect more data,1.86,0.0931,953.09,87.3,46.8,0.0,22.0,78.0,supplier quote required; estimated profit is not a rejection gate,,,asin:B0FHPNMYMY,2026-08-31 08:10:41,2026-08-31 08:10:41,1,61.4,61.4,Watch or collect more data,Watch or collect more data,not_in_latest_run,20260831_personal_seller_rules,watchlist,
category:Shelf Baskets,,,,B0DN6TTN1Y,B0DN6SRK2B,"Large Handwoven Water Hyacinth Storage Wicker Basket with 2 Handles - Brown | Handcrafted Rectangular Organizer, Sturdy Iron Frame, Ideal for Towels, Blankets, Shelves & Décor - 16.5“x13“x7.50“","['Home & Kitchen', 'home-garden']",US,35.99,10.08,2.88,11.18,0.15,786.0,125.0,4.5,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,20.0,75.0,35.0,65.0,B,"observed:price,sales,reviews,rating,fba_fee; estimated:search_volume,cpc",estimated_default_costs,Imported from Sorftime; ASIN B0DN6TTN1Y; parent B0DN6SRK2B; brand Pixoframe,https://www.amazon.com/dp/B0DN6TTN1Y,52.6,Watch or collect more data,6.45,0.1793,5070.88,87.3,46.8,14.5,22.0,78.0,supplier quote required; estimated profit is not a rejection gate,,,asin:B0DN6TTN1Y,2026-08-31 08:10:41,2026-08-31 08:13:08,3,61.4,52.6,Watch or collect more data,Watch or collect more data,not_in_latest_run,20260831_logic_audit,watchlist,
higher_ticket_lightweight,,,,B0GF1C8T7G,B0DBVNH8JX,"BITPOTT Solar Pathway Lights Outdoor,Bright Solar Lights for Outside, Waterproof Auto On/Off Garden Lights Solar Powered Landscape Lights for Yard Walkway Driveway Lawn (Cool White, 12 Pack)","['Tools & Home Improvement', 'hi']",US,81.59,22.85,6.53,9.31,0.15,1494.0,464.0,4.4,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,20.0,,,,,,,Imported from Sorftime; ASIN B0GF1C8T7G; parent B0DBVNH8JX; brand BITPOTT,https://www.amazon.com/dp/B0GF1C8T7G,61.3,Watch or collect more data,30.66,0.3758,45808.28,87.3,28.3,76.8,22.0,78.0,clean early risk profile,,,asin:B0GF1C8T7G,2026-05-23 18:59:50,2026-05-23 20:21:21,2,61.3,61.3,Watch or collect more data,Watch or collect more data,not_in_latest_run,20260523_202121,watchlist,
higher_ticket_lightweight,,,,B0DLZTH1BQ,B0DLZL3F37,"Hananona 2 Pcs Artificial Camellia Trees Faux Camellia Plant in Pot with Flowers Indoor Plants for Spring Home Decor Outdoor Porch Front Door Decor (Red, M)","['Home & Kitchen', 'home-garden']",US,80.99,22.68,6.48,15.77,0.15,1496.0,139.0,4.6,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,85.0,,,,,,,Imported from Sorftime; ASIN B0DLZTH1BQ; parent B0DLZL3F37; brand Hananona,https://www.amazon.com/dp/B0DLZTH1BQ,61.0,Watch or collect more data,23.91,0.2952,35771.6,87.3,46.8,63.9,35.0,65.0,gross margin below 35%; oversize risk,,,asin:B0DLZTH1BQ,2026-05-23 18:59:50,2026-05-23 18:59:50,1,61.0,61.0,Watch or collect more data,Watch or collect more data,not_in_latest_run,20260523_185950,watchlist,
category:Bathroom Shelves,,,,B0GCKCF3M4,B0GCJT42JD,"Outlet Shelf with Cord Storage, White Wall Holder for Bathroom, 1 Pack","['Tools & Home Improvement', 'hi']",US,13.59,3.81,1.09,4.46,0.15,395.0,63.0,4.6,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,20.0,75.0,35.0,65.0,B,"observed:price,sales,reviews,rating,fba_fee; estimated:search_volume,cpc",estimated_default_costs,Imported from Sorftime; ASIN B0GCKCF3M4; parent B0GCJT42JD; brand Gaidas,https://www.amazon.com/dp/B0GCKCF3M4,60.9,Watch or collect more data,2.19,0.1613,865.64,69.8,54.3,0.0,22.0,78.0,supplier quote required; estimated profit is not a rejection gate,,,asin:B0GCKCF3M4,2026-08-31 08:10:41,2026-08-31 08:10:41,1,60.9,60.9,Watch or collect more data,Watch or collect more data,not_in_latest_run,20260831_personal_seller_rules,watchlist,
category:Mops & Bucket Sets,23537016011,Mops & Bucket Sets,Home & Kitchen > Cleaning Supplies > Household Cleaning > Cleaning Tools > Mopping > Mops & Bucket Sets,B0H25MJYNQ,,Mop and Bucket Set | Auto-Spray Cleaning | Dirty Water Separation,Home & Kitchen > Cleaning Supplies > Household Cleaning > Cleaning Tools > Mopping > Mops & Bucket Sets,US,47.49,13.3,3.8,10.99,0.15,706.0,100.0,4.4,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,20.0,75.0,35.0,65.0,B,"observed:price,sales,reviews,rating,fba_fee; estimated:search_volume,cpc",estimated_default_costs,Imported from Sorftime; ASIN B0H25MJYNQ; brand ADICOM,https://www.amazon.com/dp/B0H25MJYNQ,60.9,Watch or collect more data,12.28,0.2585,8667.21,87.3,58.3,35.7,22.0,78.0,supplier quote required; estimated profit is not a rejection gate,,,asin:B0H25MJYNQ,2026-09-01 21:50:14,2026-09-01 21:50:14,1,60.9,60.9,Watch or collect more data,Watch or collect more data,not_in_latest_run,20260901_mcp_rules_replay,watchlist,
category:Open Storage Bins,,,,B0GQSM6463,B0H3THVDN2,"SONGMICS Storage Cubes, Set of 6 Foldable Organizer Boxes with Handles | Fabric Boxes, 10.2 x 10.2 x 11 Inches, Odorless, for Closet Shelves, Cloud White and Summer Sand, TINA Collection URFB426LF02","['Home & Kitchen', 'home-garden']",US,21.94,6.14,1.76,8.03,0.15,1591.0,129.0,4.5,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,45.0,75.0,35.0,65.0,B,"observed:price,sales,reviews,rating,fba_fee; estimated:search_volume,cpc",estimated_default_costs,Imported from Sorftime; ASIN B0GQSM6463; parent B0H3THVDN2; brand SONGMICS,https://www.amazon.com/dp/B0GQSM6463,60.7,Watch or collect more data,2.72,0.1239,4325.93,87.3,46.8,9.5,27.0,73.0,supplier quote required; estimated profit is not a rejection gate,,,asin:B0GQSM6463,2026-08-31 08:10:41,2026-08-31 08:10:41,1,60.7,60.7,Watch or collect more data,Watch or collect more data,not_in_latest_run,20260831_personal_seller_rules,watchlist,
category:Shelf Baskets,,,,B0GGX2DTGC,B0GV8C463F,"Goodpick 4 Pack Storage Baskets for Organizing Shelves, Light Brown & White","['Home & Kitchen', 'home-garden']",US,25.19,7.05,2.02,8.59,0.15,1109.0,118.0,4.5,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,45.0,75.0,35.0,65.0,B,"observed:price,sales,reviews,rating,fba_fee; estimated:search_volume,cpc",estimated_default_costs,Imported from Sorftime; ASIN B0GGX2DTGC; parent B0GV8C463F; brand Goodpick,https://www.amazon.com/dp/B0GGX2DTGC,60.7,Watch or collect more data,3.75,0.1489,4160.41,87.3,46.8,9.0,27.0,73.0,supplier quote required; estimated profit is not a rejection gate,,,asin:B0GGX2DTGC,2026-08-31 08:10:41,2026-08-31 08:10:41,1,60.7,60.7,Watch or collect more data,Watch or collect more data,not_in_latest_run,20260831_personal_seller_rules,watchlist,
category:Storage Boxes,,,,B0GZHQRBB3,B0HBJ3CVXY,"EOENVIVS 4 Pack Clear Storage Bins with Lids, Stackable A4 & US Letter File Box Organizers, Craft Storage Bins and Sensory Bins for Classroom, Kids Art Supplies, Documents and Projects, Black Latches","['Home & Kitchen', 'home-garden']",US,25.99,7.28,2.08,9.26,0.15,869.0,120.0,4.5,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,45.0,75.0,35.0,65.0,B,"observed:price,sales,reviews,rating,fba_fee; estimated:search_volume,cpc",estimated_default_costs,Imported from Sorftime; ASIN B0GZHQRBB3; parent B0HBJ3CVXY; brand EOENVIVS,https://www.amazon.com/dp/B0GZHQRBB3,60.7,Watch or collect more data,3.47,0.1336,3016.73,87.3,46.8,5.8,27.0,73.0,supplier quote required; estimated profit is not a rejection gate,,,asin:B0GZHQRBB3,2026-08-31 08:10:41,2026-08-31 08:10:41,1,60.7,60.7,Watch or collect more data,Watch or collect more data,not_in_latest_run,20260831_personal_seller_rules,watchlist,
category:Bathroom Shelves,,,,B0FGTSGJFD,B0FBWKLMS5,"2-Tier Corner Bathroom Counter Organizer, Larger Size","['Home & Kitchen', 'home-garden']",US,22.99,6.44,1.84,6.78,0.15,947.0,143.0,4.5,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,45.0,75.0,35.0,65.0,B,"observed:price,sales,reviews,rating,fba_fee; estimated:search_volume,cpc",estimated_default_costs,Imported from Sorftime; ASIN B0FGTSGJFD; parent B0FBWKLMS5; brand Aollewoiti,https://www.amazon.com/dp/B0FGTSGJFD,60.7,Watch or collect more data,4.48,0.1949,4243.98,87.3,46.8,9.3,27.0,73.0,supplier quote required; estimated profit is not a rejection gate,,,asin:B0FGTSGJFD,2026-08-31 08:10:41,2026-08-31 08:10:41,1,60.7,60.7,Watch or collect more data,Watch or collect more data,not_in_latest_run,20260831_personal_seller_rules,watchlist,
category:Open Storage Bins,,,,B0D2QYNRLD,B0F48H5ZVY,"RattanView 6 Pcs 11in Cube Storage Bins Crayon Classroom Cubbies Fabric | Colorful Organizers for Daycare, Stackable Collapsible Design, Treasure Prize Boxes for Students, School Supply Storage","['Home & Kitchen', 'home-garden']",US,29.99,8.4,2.4,8.11,0.15,867.0,114.0,4.5,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,45.0,75.0,35.0,65.0,B,"observed:price,sales,reviews,rating,fba_fee; estimated:search_volume,cpc",estimated_default_costs,Imported from Sorftime; ASIN B0D2QYNRLD; parent B0F48H5ZVY; brand RattanView,https://www.amazon.com/dp/B0D2QYNRLD,52.4,Watch or collect more data,6.58,0.2195,5706.16,87.3,46.8,16.6,27.0,73.0,supplier quote required; estimated profit is not a rejection gate,,,asin:B0D2QYNRLD,2026-08-31 08:10:41,2026-08-31 08:13:08,3,60.7,52.4,Watch or collect more data,Watch or collect more data,not_in_latest_run,20260831_logic_audit,watchlist,
higher_ticket_lightweight,,,,B0G6NVWZ9X,B0GC7FNKZB,"Gourmia Toaster Oven Digital Air Fryer - Convection Mode with 4 Slice Capacity, 3 Rack Positions, 12 Presets, Toast, Bagel, Bake, Roast, Broil, Dehydrate, Popcorn, Fits 9“ Pizza, Black","['Kitchen & Dining', 'kitchen']",US,89.95,25.19,7.2,17.49,0.15,1493.0,390.0,4.0,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,85.0,,,,,,,Imported from Sorftime; ASIN B0G6NVWZ9X; parent B0GC7FNKZB; brand Gourmia,https://www.amazon.com/dp/B0G6NVWZ9X,60.6,Watch or collect more data,26.58,0.2955,39680.21,87.3,42.8,66.1,35.0,65.0,gross margin below 35%; oversize risk,,,asin:B0G6NVWZ9X,2026-05-23 18:59:50,2026-05-23 18:59:50,1,60.6,60.6,Watch or collect more data,Watch or collect more data,not_in_latest_run,20260523_185950,watchlist,
category:Beer Glasses,,,,B0FZM9N9TL,B0FZM9N9TL,"Official FIFA World Cup 2026 Edition - 17oz Pilsner Beer Glass & 6-Inch Trophy Bottle Opener Gift Set - 1 of Each - Perfect for Parties, Mancaves, Gamedays, Tailgates, BBQ’s - Collectors Drinkware Set","['Sports & Outdoors', 'sporting-goods']",US,39.99,11.2,3.2,5.94,0.15,1282.0,124.0,4.6,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,20.0,,,,,,,Imported from Sorftime; ASIN B0FZM9N9TL; parent B0FZM9N9TL; brand Wagon International,https://www.amazon.com/dp/B0FZM9N9TL,57.3,Watch or collect more data,13.65,0.3414,17501.22,87.3,46.8,49.5,22.0,78.0,gross margin below 35%,,,asin:B0FZM9N9TL,2026-05-29 10:45:09,2026-08-09 17:39:08,2,60.4,57.3,Watch or collect more data,Watch or collect more data,not_in_latest_run,20260809_173908,watchlist,
category:Vertical Plate Holders,,,,B07XRXPYSX,B09BZYVHVH,"Plymor Gold Plate Hanger for 2-3 inch Plates, Pack of 2 | Spring-steel, wall-mountable; edge hooks grip the rim of china & collector plates; 2.25 x 1.25 x 0.375 inches (H x W x D)","['Kitchen & Dining', 'kitchen']",US,14.01,3.92,1.12,3.92,0.15,460.0,186.0,4.5,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,20.0,75.0,35.0,65.0,B,"observed:price,sales,reviews,rating,fba_fee; estimated:search_volume,cpc",estimated_default_costs,Imported from Sorftime; ASIN B07XRXPYSX; parent B09BZYVHVH; brand Plymor,https://www.amazon.com/dp/B07XRXPYSX,59.9,Watch or collect more data,2.95,0.2105,1356.31,80.6,46.8,1.0,22.0,78.0,supplier quote required; estimated profit is not a rejection gate,,,asin:B07XRXPYSX,2026-08-31 08:10:41,2026-08-31 08:10:41,1,59.9,59.9,Watch or collect more data,Watch or collect more data,not_in_latest_run,20260831_personal_seller_rules,watchlist,
category:Camping Stoves,19450136011,Camping Stoves,Sports & Outdoors > Outdoor Recreation > Camping & Hiking > Camp Kitchen > Stoves & Grills > Camping Stoves,B0DGTJPVZ2,,"Fire-Maple Greenpeak 2 Camping Stove with Regulator Portable Gas Stoves | Pressure Regulator, Piezo Igniter, Micro Windshield, Adjustable Pot Support, Fast Boiling, Fuel Efficient Design, 95g (3.4oz)",Sports & Outdoors > Outdoor Recreation > Camping & Hiking > Camp Kitchen > Stoves & Grills > Camping Stoves,US,29.7,8.32,2.38,4.17,0.15,1090.0,149.0,4.4,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,20.0,75.0,35.0,65.0,B,"observed:price,sales,reviews,rating,fba_fee; estimated:search_volume,cpc",estimated_default_costs,Imported from Sorftime; ASIN B0DGTJPVZ2; brand Fire-Maple,https://www.amazon.com/dp/B0DGTJPVZ2,59.7,Watch or collect more data,10.38,0.3493,11308.75,87.3,50.8,44.0,22.0,78.0,supplier quote required; estimated profit is not a rejection gate,,,asin:B0DGTJPVZ2,2026-09-01 21:42:46,2026-09-01 21:42:46,1,59.7,59.7,Watch or collect more data,Watch or collect more data,not_in_latest_run,20260901_214146,watchlist,
higher_ticket_lightweight,,,,B0GFJMQQ1Q,B0FZGP8PDD,"3 Pcs 42L Medium Collapsible Plastic Laundry Basket with Handles, Foldable Laundry Basket Hamper, Pop Up Storage Container Organizer for Washing Storage (Gery, 17 Inch * 13 Inch * 15 Inch)","['Home & Kitchen', 'home-garden']",US,56.99,15.96,4.56,10.32,0.15,1497.0,114.0,4.1,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,65.0,,,,,,,Imported from Sorftime; ASIN B0GFJMQQ1Q; parent B0FZGP8PDD; brand ZAUNFOOY,https://www.amazon.com/dp/B0GFJMQQ1Q,59.4,Watch or collect more data,17.6,0.3089,26349.45,87.3,52.8,53.0,31.0,69.0,gross margin below 35%; oversize risk,,,asin:B0GFJMQQ1Q,2026-05-23 18:59:50,2026-05-23 18:59:50,1,59.4,59.4,Watch or collect more data,Watch or collect more data,not_in_latest_run,20260523_185950,watchlist,
category:Cookie Jars,,,,B0CV7H2DLQ,B0GYNJ1MWB,"MACKENZIE-CHILDS Glass Sweets Jar with Lid, Pink-and-White Rosy Check","['Kitchen & Dining', 'kitchen']",US,69.95,19.59,5.6,8.7,0.15,278.0,151.0,4.5,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,45.0,75.0,35.0,65.0,B,"observed:price,sales,reviews,rating,fba_fee; estimated:search_volume,cpc",estimated_default_costs,Imported from Sorftime; ASIN B0CV7H2DLQ; parent B0GYNJ1MWB; brand MACKENZIE-CHILDS,https://www.amazon.com/dp/B0CV7H2DLQ,59.4,Watch or collect more data,25.57,0.3655,7107.77,50.3,46.8,72.9,27.0,73.0,landed cost still estimated,,,asin:B0CV7H2DLQ,2026-08-17 13:44:12,2026-08-17 13:44:12,1,59.4,59.4,Watch or collect more data,Watch or collect more data,not_in_latest_run,20260817_083848,watchlist,
category:Lidded Storage Bins,,,,B0FPRFFNH6,B0G1KJT88T,"Extra Large Storage Bin, 40 Gallon Wheeled Plastic Storage Container with Handle, Green, Pack of 2 (GREEN)","['Home & Kitchen', 'home-garden']",US,49.99,14.0,4.0,9.0,0.15,1092.0,96.0,4.6,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,20.0,65.0,20.0,53.8,C,"observed:price,sales,reviews,rating; estimated:fba_fee,search_volume,cpc",estimated_default_costs,Imported from Sorftime; ASIN B0FPRFFNH6; parent B0G1KJT88T; brand COKELARIA,https://www.amazon.com/dp/B0FPRFFNH6,59.3,Watch or collect more data,15.49,0.3099,16916.72,87.3,54.3,49.0,22.0,78.0,gross margin below 35%; evidence confidence below supplier-validation threshold; landed cost still estimated,,,asin:B0FPRFFNH6,2026-08-24 12:48:06,2026-08-24 12:48:06,1,59.3,59.3,Watch or collect more data,Watch or collect more data,not_in_latest_run,20260824_083043,watchlist,
category:Sponge Mops,23537024011,Sponge Mops,Home & Kitchen > Cleaning Supplies > Household Cleaning > Cleaning Tools > Mopping > Wet & Dry Mops > Sponge Mops,B0FMDXCL36,,"LOLA Squeezematic Butterfly Automatic Sponge Mop, 4 Mop Heads - 2 Foam w/ Cellulose Layer & 2 All Foam, 9“ Head w/ Scuff Remover",Home & Kitchen > Cleaning Supplies > Household Cleaning > Cleaning Tools > Mopping > Wet & Dry Mops > Sponge Mops,US,41.88,11.73,3.35,8.7,0.15,1422.0,136.0,3.7,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,20.0,75.0,35.0,65.0,B,"observed:price,sales,reviews,rating,fba_fee; estimated:search_volume,cpc",estimated_default_costs,Imported from Sorftime; ASIN B0FMDXCL36; brand LOLA,https://www.amazon.com/dp/B0FMDXCL36,59.3,Watch or collect more data,11.82,0.2822,16805.2,87.3,52.8,37.9,22.0,78.0,supplier quote required; estimated profit is not a rejection gate,,,asin:B0FMDXCL36,2026-09-01 21:42:46,2026-09-01 21:50:14,2,59.3,59.3,Watch or collect more data,Watch or collect more data,not_in_latest_run,20260901_mcp_rules_replay,watchlist,
category:Shelf Baskets,,,,B0GJDW2CDL,B0H7XQDXNT,"Yilobi 5 Pack Small Woven Storage Baskets for Shelves, Gift Baskets Empty","['Home & Kitchen', 'home-garden']",US,28.99,8.12,2.32,7.99,0.15,3580.0,330.0,4.0,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,45.0,75.0,35.0,65.0,B,"observed:price,sales,reviews,rating,fba_fee; estimated:search_volume,cpc",estimated_default_costs,Imported from Sorftime; ASIN B0GJDW2CDL; parent B0H7XQDXNT; brand Yilobi,https://www.amazon.com/dp/B0GJDW2CDL,52.0,Watch or collect more data,6.21,0.2143,22237.17,87.3,42.8,22.4,27.0,73.0,supplier quote required; estimated profit is not a rejection gate,,,asin:B0GJDW2CDL,2026-08-31 08:10:41,2026-08-31 08:13:08,3,58.8,52.0,Watch or collect more data,Watch or collect more data,not_in_latest_run,20260831_logic_audit,watchlist,
category:Shelf Baskets,,,,B0GTLCP7LN,B0DQTBQ5C9,"Nonam Wicker Storage Basket with Lid,Seagrass Shelf Basket Set of 2,Coffee","['Home & Kitchen', 'home-garden']",US,25.99,7.28,2.08,8.03,0.15,2139.0,377.0,4.3,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,20.0,75.0,35.0,65.0,B,"observed:price,sales,reviews,rating,fba_fee; estimated:search_volume,cpc",estimated_default_costs,Imported from Sorftime; ASIN B0GTLCP7LN; parent B0DQTBQ5C9; brand Nonam,https://www.amazon.com/dp/B0GTLCP7LN,58.7,Watch or collect more data,4.7,0.1809,10056.51,87.3,40.8,20.0,22.0,78.0,supplier quote required; estimated profit is not a rejection gate,,,asin:B0GTLCP7LN,2026-08-31 08:10:41,2026-08-31 08:10:41,1,58.7,58.7,Watch or collect more data,Watch or collect more data,not_in_latest_run,20260831_personal_seller_rules,watchlist,
category:Bathroom Trays,,,,B0D9N76JCB,B0D9N66V98,"Sumnacon Small Wicker Basket with Lid,Tampon Holder for Bathroom,Coffee,XS","['Home & Kitchen', 'home-garden']",US,15.99,4.48,1.28,5.77,0.15,1199.0,272.0,4.4,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,20.0,75.0,35.0,65.0,B,"observed:price,sales,reviews,rating,fba_fee; estimated:search_volume,cpc",estimated_default_costs,Imported from Sorftime; ASIN B0D9N76JCB; parent B0D9N66V98; brand Sumnacon,https://www.amazon.com/dp/B0D9N76JCB,58.7,Watch or collect more data,2.06,0.1289,2471.74,87.3,40.8,4.2,22.0,78.0,supplier quote required; estimated profit is not a rejection gate,,,asin:B0D9N76JCB,2026-08-31 08:10:41,2026-08-31 08:10:41,1,58.7,58.7,Watch or collect more data,Watch or collect more data,not_in_latest_run,20260831_personal_seller_rules,watchlist,
category:Shelf Baskets,,,,B0FFGRNXGY,B0F7YKS5H2,"Criusia 4 Pack Closet Organizers and Storage, Large Linen Closet Baskets for Organization, Foldable Storage Containers for Towels, Clothing, Jeans, Books, Shelves, White","['Home & Kitchen', 'home-garden']",US,28.49,7.98,2.28,5.81,0.15,741.0,241.0,4.4,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,20.0,75.0,35.0,65.0,B,"observed:price,sales,reviews,rating,fba_fee; estimated:search_volume,cpc",estimated_default_costs,Imported from Sorftime; ASIN B0FFGRNXGY; parent B0F7YKS5H2; brand Criusia,https://www.amazon.com/dp/B0FFGRNXGY,52.4,Watch or collect more data,8.15,0.2859,6036.56,87.3,40.8,25.5,22.0,78.0,supplier quote required; estimated profit is not a rejection gate,,,asin:B0FFGRNXGY,2026-08-31 08:10:41,2026-08-31 08:13:08,3,58.7,52.4,Watch or collect more data,Watch or collect more data,not_in_latest_run,20260831_logic_audit,watchlist,
category:Lidded Storage Bins,,,,B0DVRGDQ4W,B0DVRGQCLD,Decorative Storage Boxes with Lids - Set of 2 Fluted Photo Organizer Bins,"['Home & Kitchen', 'home-garden']",US,29.99,8.4,2.4,7.22,0.15,1390.0,270.0,4.4,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,20.0,75.0,35.0,65.0,B,"observed:price,sales,reviews,rating,fba_fee; estimated:search_volume,cpc",estimated_default_costs,Imported from Sorftime; ASIN B0DVRGDQ4W; parent B0DVRGQCLD; brand ZICOTO,https://www.amazon.com/dp/B0DVRGDQ4W,52.3,Watch or collect more data,7.47,0.2491,10385.38,87.3,40.8,24.9,22.0,78.0,supplier quote required; estimated profit is not a rejection gate,,,asin:B0DVRGDQ4W,2026-08-31 08:10:41,2026-08-31 21:19:57,4,58.7,52.3,Watch or collect more data,Watch or collect more data,not_in_latest_run,20260831_quota_recovery,watchlist,
category:Vertical Plate Holders,,,,B0G19GYRSS,B0GWD38S4B,Tnkcter 40 Pack Premium Invisible Plate Hangers for Walls (Round & Square),"['Kitchen & Dining', 'kitchen']",US,13.99,3.92,1.12,4.87,0.15,205.0,35.0,4.0,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,20.0,75.0,35.0,65.0,B,"observed:price,sales,reviews,rating,fba_fee; estimated:search_volume,cpc",estimated_default_costs,Imported from Sorftime; ASIN B0G19GYRSS; parent B0GWD38S4B; brand Tnkcter,https://www.amazon.com/dp/B0G19GYRSS,58.6,Watch or collect more data,1.98,0.1416,406.21,38.1,65.3,0.0,22.0,78.0,supplier quote required; estimated profit is not a rejection gate,,,asin:B0G19GYRSS,2026-08-31 08:10:41,2026-08-31 08:10:41,1,58.6,58.6,Watch or collect more data,Watch or collect more data,not_in_latest_run,20260831_personal_seller_rules,watchlist,
category:Tool Holsters,553582,Tool Holsters,Tools & Home Improvement > Storage & Home Organization > Tool Organizers > Tool Holsters,B0D2JDXBNS,,"Quick Draw Shoulder Holster - Belly Band Holster for Everyday Comfortable Concealed Carry for Small, Compact and Other Similar Gear",Tools & Home Improvement > Storage & Home Organization > Tool Organizers > Tool Holsters,US,19.89,5.57,1.59,4.19,0.15,655.0,44.0,4.2,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,20.0,75.0,35.0,65.0,B,"observed:price,sales,reviews,rating,fba_fee; estimated:search_volume,cpc",estimated_default_costs,Imported from Sorftime; ASIN B0D2JDXBNS; brand LIBOSHENG,https://www.amazon.com/dp/B0D2JDXBNS,58.5,Watch or collect more data,5.56,0.2794,3639.51,87.3,63.3,12.6,22.0,78.0,supplier quote required; estimated profit is not a rejection gate,,,asin:B0D2JDXBNS,2026-09-01 21:42:46,2026-09-01 21:42:46,1,58.5,58.5,Watch or collect more data,Watch or collect more data,not_in_latest_run,20260901_214146,watchlist,
